occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,protected,cx_int_no,formation,stratgroup,member,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,occurrence_comments,authorizer_no,enterer_no,modifier_no,authorizer,enterer,modifier,created,modified,paleomodel,paleolng,paleolat,geoplate
467573,occ,,,46472,Ptychoparia pervulgata,species,20903,species not entered,Ptychoparia,,genus,20903,St Davids,,513,501,12419,77.23333,33.066666,IN,Jammu,,estimated from map,seconds,,"Kurgiakh, Zanskar Basin",,22,Kunzam La,Haimanta,Upper,Kunzam La,Haimanta,Upper,group of beds,,,,,Zanskar,,,,,"""shale""","gray,green",,,Y,,,,,,,"""shale""","gray,green",,,Y,,,,,,marine indet.,,,,6,201,201,L. Ivany,P. Wall,P. Wall,2005-01-13 12:13,2005-01-19 10:08,gp_mid,98.94,-32.38,501
467574,occ,,,46472,Ptychoparia sp.,genus,20903,,Ptychoparia,,genus,20903,St Davids,,513,501,12419,77.23333,33.066666,IN,Jammu,,estimated from map,seconds,,"Kurgiakh, Zanskar Basin",,22,Kunzam La,Haimanta,Upper,Kunzam La,Haimanta,Upper,group of beds,,,,,Zanskar,,,,,"""shale""","gray,green",,,Y,,,,,,,"""shale""","gray,green",,,Y,,,,,,marine indet.,,,,6,201,201,L. Ivany,P. Wall,P. Wall,2005-01-13 12:13,2005-01-19 10:08,gp_mid,98.94,-32.38,501
467575,occ,,,46472,Lyriaspis spitiensis,species,20686,species not entered,Lyriaspis,,genus,20686,St Davids,,513,501,12419,77.23333,33.066666,IN,Jammu,,estimated from map,seconds,,"Kurgiakh, Zanskar Basin",,22,Kunzam La,Haimanta,Upper,Kunzam La,Haimanta,Upper,group of beds,,,,,Zanskar,,,,,"""shale""","gray,green",,,Y,,,,,,,"""shale""","gray,green",,,Y,,,,,,marine indet.,,,,6,201,201,L. Ivany,P. Wall,P. Wall,2005-01-13 12:13,2005-01-19 10:08,gp_mid,98.94,-32.38,501
467576,occ,,,46472,Lyriaspis sp.,genus,20686,,Lyriaspis,,genus,20686,St Davids,,513,501,12419,77.23333,33.066666,IN,Jammu,,estimated from map,seconds,,"Kurgiakh, Zanskar Basin",,22,Kunzam La,Haimanta,Upper,Kunzam La,Haimanta,Upper,group of beds,,,,,Zanskar,,,,,"""shale""","gray,green",,,Y,,,,,,,"""shale""","gray,green",,,Y,,,,,,marine indet.,,,,6,201,201,L. Ivany,P. Wall,P. Wall,2005-01-13 12:13,2005-01-19 10:08,gp_mid,98.94,-32.38,501
467577,occ,,,46472,Anomocarella resseri,species,20290,species not entered,Anomocarella,,genus,20290,St Davids,,513,501,12419,77.23333,33.066666,IN,Jammu,,estimated from map,seconds,,"Kurgiakh, Zanskar Basin",,22,Kunzam La,Haimanta,Upper,Kunzam La,Haimanta,Upper,group of beds,,,,,Zanskar,,,,,"""shale""","gray,green",,,Y,,,,,,,"""shale""","gray,green",,,Y,,,,,,marine indet.,,,,6,201,201,L. Ivany,P. Wall,P. Wall,2005-01-13 12:13,2005-01-19 10:08,gp_mid,98.94,-32.38,501
467578,occ,,,46472,Anomocaraspis hundwarense,species,154998,"subjective synonym of, species not entered",Hundwarella,,genus,20567,St Davids,,513,501,12419,77.23333,33.066666,IN,Jammu,,estimated from map,seconds,,"Kurgiakh, Zanskar Basin",,22,Kunzam La,Haimanta,Upper,Kunzam La,Haimanta,Upper,group of beds,,,,,Zanskar,,,,,"""shale""","gray,green",,,Y,,,,,,,"""shale""","gray,green",,,Y,,,,,,marine indet.,,,,6,201,201,L. Ivany,P. Wall,P. Wall,2005-01-13 12:13,2005-01-19 10:08,gp_mid,98.94,-32.38,501
467579,occ,,,46472,Anomocare sp.,genus,19849,,Anomocare,,genus,19849,St Davids,,513,501,12419,77.23333,33.066666,IN,Jammu,,estimated from map,seconds,,"Kurgiakh, Zanskar Basin",,22,Kunzam La,Haimanta,Upper,Kunzam La,Haimanta,Upper,group of beds,,,,,Zanskar,,,,,"""shale""","gray,green",,,Y,,,,,,,"""shale""","gray,green",,,Y,,,,,,marine indet.,,,,6,201,201,L. Ivany,P. Wall,P. Wall,2005-01-13 12:13,2005-01-19 10:08,gp_mid,98.94,-32.38,501
467580,occ,,,46472,Hundwarella transversa,species,20567,species not entered,Hundwarella,,genus,20567,St Davids,,513,501,12419,77.23333,33.066666,IN,Jammu,,estimated from map,seconds,,"Kurgiakh, Zanskar Basin",,22,Kunzam La,Haimanta,Upper,Kunzam La,Haimanta,Upper,group of beds,,,,,Zanskar,,,,,"""shale""","gray,green",,,Y,,,,,,,"""shale""","gray,green",,,Y,,,,,,marine indet.,,,,6,201,201,L. Ivany,P. Wall,P. Wall,2005-01-13 12:13,2005-01-19 10:08,gp_mid,98.94,-32.38,501
467581,occ,,,46472,Hundwarella cf. convexa,species,20567,species not entered,Hundwarella,,genus,20567,St Davids,,513,501,12419,77.23333,33.066666,IN,Jammu,,estimated from map,seconds,,"Kurgiakh, Zanskar Basin",,22,Kunzam La,Haimanta,Upper,Kunzam La,Haimanta,Upper,group of beds,,,,,Zanskar,,,,,"""shale""","gray,green",,,Y,,,,,,,"""shale""","gray,green",,,Y,,,,,,marine indet.,,,,6,201,201,L. Ivany,P. Wall,P. Wall,2005-01-13 12:13,2005-01-19 10:08,gp_mid,98.94,-32.38,501
467582,occ,,,46472,Hundwarella personata,species,20567,species not entered,Hundwarella,,genus,20567,St Davids,,513,501,12419,77.23333,33.066666,IN,Jammu,,estimated from map,seconds,,"Kurgiakh, Zanskar Basin",,22,Kunzam La,Haimanta,Upper,Kunzam La,Haimanta,Upper,group of beds,,,,,Zanskar,,,,,"""shale""","gray,green",,,Y,,,,,,,"""shale""","gray,green",,,Y,,,,,,marine indet.,,,,6,201,201,L. Ivany,P. Wall,P. Wall,2005-01-13 12:14,2005-01-19 10:08,gp_mid,98.94,-32.38,501
